"filename", "language", "Markdown", "XML", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "JavaScript JSX", "PostCSS", "TypeScript JSX", "Dotenv", "HTML", "comment", "blank", "total"
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\components\StatCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\components\UsersDistributionChart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 9, 98
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\components\UsersTable.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 2, 7, 164
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\eslint.config.mjs", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 17
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\next.config.mjs", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 8
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\package-lock.json", "JSON", 0, 0, 0, 7233, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7234
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\package.json", "JSON", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\postcss.config.mjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\public\Flag_of_Germany.svg", "XML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\public\file.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\public\globe.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\public\next.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\public\vercel.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dierk\OneDrive\Desktop\Evolvo\admin-dashboard\public\window.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dierk\OneDrive\Desktop\Evolvo\evolvo-waitlist\.env", "Dotenv", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1, 4
"c:\Users\dierk\OneDrive\Desktop\Evolvo\evolvo-waitlist\README.md", "Markdown", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17
"c:\Users\dierk\OneDrive\Desktop\Evolvo\evolvo-waitlist\eslint.config.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\dierk\OneDrive\Desktop\Evolvo\evolvo-waitlist\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"c:\Users\dierk\OneDrive\Desktop\Evolvo\evolvo-waitlist\package-lock.json", "JSON", 0, 0, 0, 2956, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2957
"c:\Users\dierk\OneDrive\Desktop\Evolvo\evolvo-waitlist\package.json", "JSON", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 1, 39
"c:\Users\dierk\OneDrive\Desktop\Evolvo\evolvo-waitlist\public\favicon.svg", "XML", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dierk\OneDrive\Desktop\Evolvo\evolvo-waitlist\public\icons.svg", "XML", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
